ID,Machine Speed (m/s),Operator Training (0-10),Label Quality (0-10),Environment Cleanliness (0-10),Time Taken (minutes),Percentage of Failure (%),Failure Status (Binary)
637,0.36,0,1,6,13,12.58,Fail
638,0.62,2,1,9,15,6.14,Pass
639,0.91,7,8,10,21,7.2,Pass
640,0.73,4,10,10,16,11.84,Fail
641,0.5,3,10,6,23,5.26,Pass
642,0.35,1,9,2,17,8.79,Pass
643,0.55,5,8,6,24,3.01,Pass
644,0.81,4,2,2,15,0.81,Pass
645,0.4,6,8,8,16,8.26,Pass
646,0.51,7,0,9,26,0.23,Pass
647,0.55,10,10,1,23,4.69,Pass
648,0.55,5,7,2,21,0,Pass
649,0.55,9,4,10,14,2.73,Pass
650,0.83,9,10,10,10,6.59,Pass
651,0.45,10,5,8,10,2.62,Pass
652,0.38,3,8,5,24,4.93,Pass
653,0.5,2,0,1,16,2.14,Pass
654,0.85,9,8,4,28,0,Pass
655,0.7,7,8,10,28,0,Pass
656,0.47,4,1,2,15,4.46,Pass
657,0.55,6,10,7,20,10.73,Fail
658,0.45,1,6,7,13,1.16,Pass
659,1,8,0,9,28,0,Pass
660,0.64,6,7,4,21,11.13,Fail
661,0.96,0,5,6,15,0.84,Pass
662,0.56,5,6,2,17,6.71,Pass
663,0.47,4,9,2,12,0,Pass
664,0.93,1,8,5,20,12.78,Fail
665,0.57,8,9,7,21,10.39,Fail
666,0.32,8,0,3,17,9.99,Pass
667,0.39,7,9,5,12,2.72,Pass
668,0.89,6,5,2,16,6.79,Pass
669,0.78,3,10,10,11,0,Pass
670,0.62,3,10,0,11,7.7,Pass
671,0.47,2,1,4,16,12.06,Fail
672,0.99,2,3,5,12,4.08,Pass
673,0.64,3,9,5,29,0.99,Pass
674,0.93,8,9,10,20,2.02,Pass
675,0.58,7,2,0,10,7.31,Pass
676,0.96,6,1,6,16,11.55,Fail
677,0.5,3,0,2,24,7.38,Pass
678,0.82,1,3,2,25,1.76,Pass
679,0.59,5,5,4,24,6.04,Pass
680,0.93,5,9,4,26,13.64,Fail
681,0.9,7,6,2,14,2.11,Pass
682,0.59,7,3,5,26,0,Pass
683,0.74,10,2,7,20,0,Pass
684,0.51,5,3,5,26,1.17,Pass
685,0.54,3,8,8,10,0,Pass
686,0.57,6,4,8,22,4.55,Pass
687,0.57,8,10,5,22,5.7,Pass
688,0.81,0,1,1,13,9.15,Pass
689,0.59,0,5,1,11,0,Pass
690,0.36,9,3,6,11,3.8,Pass
691,0.41,1,1,8,13,14.03,Fail
692,0.53,10,8,5,23,5.72,Pass
693,0.47,2,7,2,13,8.81,Pass
694,0.35,10,1,4,17,0,Pass
695,0.73,9,7,1,21,3.28,Pass
696,0.8,5,1,1,15,1.15,Pass
697,0.95,0,4,4,20,3.87,Pass
698,0.58,1,5,0,24,0,Pass
699,0.5,8,0,7,13,6.92,Pass
700,0.98,8,7,1,29,17.03,Fail
701,0.9,3,2,5,21,0,Pass
702,0.96,5,6,0,22,14.98,Fail
703,0.36,7,3,8,28,1.05,Pass
704,0.65,6,8,10,14,3.2,Pass
705,0.96,9,10,4,28,6.45,Pass
706,0.84,2,6,4,12,3.74,Pass
707,0.65,1,4,2,24,11.05,Fail
708,0.54,7,10,0,18,0.88,Pass
709,0.3,4,6,8,22,0,Pass
710,0.44,4,8,7,28,10.46,Fail
711,0.67,7,0,6,26,3.22,Pass
712,0.88,0,2,2,10,0.67,Pass
713,0.98,7,3,2,24,0,Pass
714,0.48,10,5,2,26,1.94,Pass
715,0.77,7,2,1,17,3.13,Pass
716,0.65,7,9,3,26,14.35,Fail
717,0.57,7,10,9,19,0,Pass
718,0.56,10,2,2,19,1.2,Pass
719,0.6,4,4,7,12,1.8,Pass
720,0.76,7,4,2,15,0.21,Pass
721,0.57,2,2,2,17,2.27,Pass
722,0.48,2,5,6,18,5.93,Pass
723,0.35,1,7,0,21,15.4,Fail
724,0.74,0,4,1,19,0.35,Pass
725,0.96,6,4,9,19,11.32,Fail
726,0.44,8,8,3,18,7.49,Pass
727,0.37,3,4,7,28,5.86,Pass
728,0.71,2,10,7,19,7.51,Pass
729,0.55,9,7,3,27,13.37,Fail
730,0.73,4,4,6,27,13.32,Fail
731,0.45,2,5,10,13,13.78,Fail
732,0.66,5,7,8,12,10.81,Fail
733,0.59,3,8,1,20,11.85,Fail
734,0.32,3,9,9,24,8.53,Pass
735,0.68,0,9,0,15,12.6,Fail
736,0.53,8,3,2,12,11.66,Fail
737,0.62,10,0,0,19,11.5,Fail
738,0.47,3,10,3,25,0,Pass
739,0.71,5,1,4,19,10.51,Fail
740,0.82,5,2,6,16,4.77,Pass
741,0.48,9,4,9,19,0,Pass
742,0.65,0,3,10,13,3.51,Pass
743,0.59,5,4,9,18,1.19,Pass
744,0.58,1,6,0,28,9.56,Pass
745,0.69,2,6,1,19,9.71,Pass
746,0.59,1,1,8,19,13.6,Fail
747,0.86,2,8,7,19,0,Pass
748,0.36,9,0,5,17,4.8,Pass
749,0.65,2,5,6,25,3.47,Pass
750,0.7,1,0,1,19,9.98,Pass
751,0.95,9,7,5,22,2.99,Pass
752,0.55,2,6,1,12,11.85,Fail
753,0.97,9,0,10,11,0,Pass
754,0.89,5,6,4,13,2.79,Pass
755,0.43,1,6,10,17,13.64,Fail
756,0.5,2,1,6,20,9.19,Pass
757,0.9,1,1,10,18,3.81,Pass
758,0.93,0,10,5,17,12.82,Fail
759,0.96,6,10,6,15,4.63,Pass
760,0.74,2,8,9,15,0,Pass
761,0.94,9,2,5,21,9.09,Pass
762,0.43,3,10,0,29,1.49,Pass
763,0.96,0,0,3,13,12.59,Fail
764,0.87,3,5,9,15,9.48,Pass
765,0.37,10,9,5,23,6.41,Pass
766,0.62,5,5,7,21,7.54,Pass
767,0.6,8,1,1,24,0,Pass
768,0.67,9,5,7,14,3.34,Pass
769,0.59,3,2,6,25,8.99,Pass
770,0.41,2,4,2,15,13.5,Fail
771,0.91,1,9,5,29,7.57,Pass
772,0.66,8,9,9,12,5.31,Pass
773,0.76,5,3,9,22,1.98,Pass
774,0.71,8,2,0,10,0,Pass
775,0.38,4,1,8,15,13.93,Fail
776,0.43,10,3,1,27,3.18,Pass
777,0.55,8,9,4,11,0.28,Pass
778,0.84,4,7,10,12,0,Pass
779,0.67,6,9,5,18,13.61,Fail
780,0.4,0,2,6,14,8.42,Pass
781,0.84,4,0,6,19,8.93,Pass
782,0.6,7,0,7,23,2.81,Pass
783,0.72,10,8,5,24,0,Pass
784,0.97,8,6,7,18,0,Pass
785,0.71,7,1,6,28,4.78,Pass
786,0.32,8,6,8,18,5.72,Pass
787,0.5,8,6,3,22,3.2,Pass
788,0.86,7,5,10,29,10.84,Fail
789,0.54,9,1,8,19,0,Pass
790,0.8,8,3,6,14,5.96,Pass
791,0.56,3,0,0,27,0,Pass
792,0.54,2,9,2,11,0,Pass
793,0.34,9,8,3,28,1.3,Pass
794,0.94,6,3,2,18,5.37,Pass
795,0.86,9,0,1,17,7.49,Pass
796,0.8,4,2,5,22,6.48,Pass
797,0.44,2,1,5,23,12.65,Fail
798,0.92,8,1,1,19,0,Pass
799,0.81,0,2,4,16,10.61,Fail
800,0.48,4,0,7,25,2.8,Pass
801,0.32,7,2,2,22,6.84,Pass
802,0.83,2,1,4,12,1.82,Pass
803,0.72,10,7,9,12,0,Pass
804,0.62,5,3,3,16,1.2,Pass
805,0.31,6,0,5,24,5.08,Pass
806,0.84,1,10,5,22,10.55,Fail
807,0.65,0,3,4,16,4.98,Pass
808,0.48,1,4,5,22,9.08,Pass
809,0.86,1,0,6,17,8.88,Pass
810,0.67,0,8,7,27,7.83,Pass
811,0.73,10,4,5,10,4.5,Pass
812,0.6,3,3,1,19,7.61,Pass
813,0.32,9,6,8,24,0,Pass
814,0.31,0,8,9,27,9.52,Pass
815,0.67,6,1,1,24,8.26,Pass
816,0.73,8,1,2,11,7.41,Pass
817,0.88,2,8,9,29,8.83,Pass
818,0.77,1,0,6,10,8.69,Pass
819,0.61,8,2,2,11,15.67,Fail
820,0.94,8,3,3,23,0,Pass
821,0.32,10,4,6,10,0,Pass
822,0.71,8,7,9,22,0.22,Pass
823,0.83,0,10,3,10,0,Pass
824,0.34,5,1,1,22,12.17,Fail
825,1,5,10,8,15,7.15,Pass
826,0.51,8,3,2,27,5.21,Pass
827,0.95,3,8,7,16,0,Pass
828,0.92,2,9,9,21,5.05,Pass
829,0.89,10,9,7,21,5.88,Pass
830,0.85,10,6,6,17,7.34,Pass
831,0.33,2,1,1,14,10.98,Fail
832,0.89,1,10,8,19,17.24,Fail
833,0.66,0,9,1,25,2.65,Pass
834,0.87,7,10,7,25,5.29,Pass
835,0.6,3,2,7,12,10.49,Fail
836,0.97,4,4,8,18,0,Pass
837,0.74,7,9,6,17,10.25,Fail
838,0.34,9,9,10,26,0.06,Pass
839,0.79,7,9,6,14,7.38,Pass
840,0.91,4,3,2,24,0,Pass
841,0.34,1,10,5,11,1.97,Pass
842,0.62,4,7,5,21,5.37,Pass
843,0.67,6,3,2,16,2.82,Pass
844,0.97,1,6,5,20,16.09,Fail
845,0.95,7,2,2,17,1.59,Pass
846,0.94,6,7,8,10,6.07,Pass
847,0.62,2,10,6,16,1.65,Pass
848,0.41,8,3,1,12,11.26,Fail
849,0.8,7,1,6,15,5.82,Pass
850,0.32,8,9,10,12,8.46,Pass
851,0.58,0,1,7,15,3.38,Pass
852,0.41,2,0,3,26,15.24,Fail
853,0.74,3,8,3,11,8.78,Pass
854,0.83,8,6,3,11,11.6,Fail
855,0.9,9,3,4,23,11.84,Fail
856,0.66,1,4,4,11,0.67,Pass
857,0.84,7,0,4,26,18.12,Fail
858,0.36,1,6,7,24,12.08,Fail
859,0.98,9,8,6,22,0,Pass
860,0.7,2,3,5,23,6.07,Pass
861,0.81,5,8,7,22,2.48,Pass
862,0.9,1,7,10,25,5.22,Pass
863,0.83,2,7,3,24,4.99,Pass
864,0.69,2,6,7,11,0,Pass
865,0.58,4,10,1,10,0,Pass
866,0.51,7,4,7,26,6.19,Pass
867,0.75,9,10,3,27,5.8,Pass
868,0.76,8,2,8,20,11.43,Fail
869,0.66,10,0,9,24,0,Pass
870,0.51,10,2,3,27,13.42,Fail
871,0.53,0,6,3,22,5.38,Pass
872,0.52,9,5,0,17,5.92,Pass
873,0.37,3,6,5,13,5.75,Pass
874,0.5,10,8,4,22,8.42,Pass
875,0.53,10,1,5,24,11.38,Fail
876,0.34,0,9,2,29,15.36,Fail
877,0.91,10,10,9,16,0,Pass
878,0.96,0,3,1,14,13.09,Fail
879,0.82,3,5,3,24,7.6,Pass
880,0.35,9,0,2,11,4.8,Pass
881,0.41,6,1,4,26,5.71,Pass
882,0.6,6,1,10,14,10.16,Fail
883,0.42,5,5,5,25,12.82,Fail
884,0.52,1,7,6,24,6.02,Pass
885,0.69,10,5,0,21,0,Pass
886,0.99,3,4,7,25,14.36,Fail
887,0.86,3,6,8,10,10.12,Fail
888,0.47,8,3,6,26,12.95,Fail
889,0.48,7,2,1,15,9.14,Pass
890,0.99,5,8,9,25,0,Pass
891,0.87,9,8,0,25,6.16,Pass
892,0.84,6,0,2,23,4.77,Pass
893,0.57,10,10,6,22,5.84,Pass
894,0.48,1,4,0,26,7.58,Pass
895,0.41,9,7,0,20,1.36,Pass
896,0.41,8,4,1,18,8.38,Pass
897,0.69,2,4,5,16,10.75,Fail
898,0.68,0,9,4,10,10.46,Fail
899,0.3,3,0,1,26,2.2,Pass
900,0.31,10,8,6,29,4.08,Pass
901,0.52,0,6,9,28,17.98,Fail
902,0.56,7,4,3,28,4.95,Pass
903,0.64,4,5,8,10,8.31,Pass
904,0.58,2,7,2,27,4.29,Pass
905,0.34,9,5,8,26,9.05,Pass
906,0.57,10,4,8,21,8.36,Pass
907,0.98,9,0,10,27,18.32,Fail
908,0.83,1,8,2,20,7.45,Pass
909,0.84,4,3,8,27,9.25,Pass
910,0.45,5,1,4,13,6,Pass
911,0.87,2,6,4,20,9.34,Pass
912,0.94,0,8,1,23,3.16,Pass
913,0.67,2,4,1,10,9.25,Pass
914,0.97,5,1,9,24,6.01,Pass
915,0.3,4,4,10,28,2.91,Pass
916,0.58,1,7,7,28,6.43,Pass
917,0.43,8,0,5,21,19.83,Fail
918,0.43,4,7,3,29,0,Pass
919,0.49,9,0,6,11,1.74,Pass
920,0.34,4,4,2,13,2.15,Pass
921,0.78,4,9,2,28,10.98,Fail
922,0.46,6,1,5,13,9.67,Pass
923,0.66,7,7,6,15,0,Pass
924,0.97,7,3,9,14,2.46,Pass
925,0.43,7,9,3,26,10.46,Fail
926,0.88,9,5,6,21,4.16,Pass
927,0.71,6,9,3,14,12.29,Fail
928,0.88,3,3,8,17,3.77,Pass
929,0.71,8,9,2,13,5.06,Pass
930,0.91,8,8,10,26,5.91,Pass
931,0.57,0,0,4,20,12.77,Fail
932,0.81,9,2,5,10,0,Pass
933,0.46,9,6,8,19,0,Pass
934,0.49,9,3,0,17,4.27,Pass
935,0.98,3,1,7,21,1.43,Pass
936,0.7,2,2,8,25,10.02,Fail
937,0.51,3,3,2,25,19.12,Fail
938,0.97,4,2,8,24,12.84,Fail
939,0.54,7,10,10,29,5.93,Pass
940,0.94,1,6,6,22,0,Pass
941,0.94,5,5,4,19,12.05,Fail
942,0.61,2,1,9,12,3.34,Pass
943,0.85,6,6,6,26,5.99,Pass
944,0.55,0,1,6,15,11.99,Fail
945,0.7,9,6,10,26,0.94,Pass
946,0.85,5,1,3,20,9.81,Pass
947,0.84,4,10,2,15,9.53,Pass
948,0.95,0,5,1,24,13.26,Fail
949,0.87,1,3,6,16,2.74,Pass
950,0.72,4,2,1,18,11.84,Fail
951,0.99,9,8,7,14,9.58,Pass
952,0.43,5,0,5,10,5,Pass
953,0.71,10,6,7,22,3.9,Pass
954,0.88,6,5,8,15,0,Pass
955,0.45,6,2,1,14,9.16,Pass
956,0.6,5,1,0,13,16.21,Fail
957,0.74,9,3,2,24,0,Pass
958,0.96,9,7,2,10,2.3,Pass
959,0.72,10,7,4,26,5.47,Pass
960,0.75,4,3,1,25,8.59,Pass
961,0.92,2,10,4,23,1.71,Pass
962,0.88,2,5,6,21,4.73,Pass
963,0.42,7,1,4,20,12.34,Fail
964,0.64,4,10,3,25,4.45,Pass
965,0.91,5,5,5,19,5.38,Pass
966,0.55,8,9,2,21,0.67,Pass
967,0.67,0,5,3,26,11.08,Fail
968,0.89,9,0,5,17,6.17,Pass
969,0.77,6,8,4,24,2.55,Pass
970,0.71,7,10,7,11,6.41,Pass
971,0.43,8,1,0,25,4.78,Pass
972,0.54,3,3,5,22,9.85,Pass
973,0.96,7,2,5,10,12.66,Fail
974,0.75,4,4,6,12,5.79,Pass
975,0.35,9,4,7,29,0,Pass
976,0.43,2,5,10,26,3.57,Pass
977,0.95,6,8,2,27,2.38,Pass
978,0.9,10,3,8,11,3.38,Pass
979,0.38,2,9,1,20,2.93,Pass
980,0.45,1,8,9,26,0.5,Pass
981,0.9,9,10,5,15,13.4,Fail
982,0.8,5,1,8,11,2.31,Pass
983,0.85,0,9,10,23,7.54,Pass
984,0.5,3,0,8,29,7.2,Pass
985,0.32,1,1,3,15,14.26,Fail
986,0.97,6,0,10,26,14.52,Fail
987,0.76,1,2,4,21,13.09,Fail
988,0.85,1,8,9,27,0,Pass
989,0.43,2,1,10,18,10.87,Fail
990,1,4,5,1,16,1.5,Pass
991,0.49,3,2,0,16,15.32,Fail
992,0.89,5,5,8,13,13.17,Fail
993,0.45,7,4,3,10,1.86,Pass
994,0.64,7,8,10,28,2.47,Pass
995,0.87,0,3,7,24,7.19,Pass
996,0.38,8,2,0,25,17.8,Fail
997,0.61,6,6,5,11,1.17,Pass
998,0.76,1,2,1,21,19.27,Fail
999,0.61,2,2,0,10,9.14,Pass
1000,0.74,10,3,9,16,0,Pass
